Style,Fandom,Main Character,Likes,Comments,Recommendations,Category,Scale,Country of the original work,Type
ACGN,Genshin,Xiao,2659,40,328,Character,Portrait,China,Game
Original Work Imnitating,Detective Conan,Vermouth,1666,17,159,Character,Portrait,Japan,Anime
ACGN,Qiang Jin Jiu,Shenlanzhou,837,10,66,Character,Bust,China,Novel
Impasto,Honkai: Star Rail,Dan Heng,483,31,77,Landscape,Large Illustration,China,Game
ACGN,Genshin,Reinden Shougun,428,13,63,Character,Bust,China,Game
ACGN,Love and Deepspace,Shen Xinghui,323,3,25,Character,Full-Body,China,Game
Realistic,Harry Potter,Draco Malfoy,254,13,21,Character,Large Illustration,UK,Novel
ACGN,Puella Magi Madoka Magica,Tomoe Mami,250,8,26,Character,Portrait,Japan,Anime
Impasto,Jujutsu Kaisen,Nanami Kento,190,3,31,Character,Bust,Japan,Anime
Impasto,Slam Dunk,Sakuragi Hanamichi,95,1,14,Character,Bust,Japan,Anime
ACGN,Genshin,Barbara,91,1,14,Character,Full-Body,China,Game
Impasto,Final Fantasy,Tifa&Alice,74,0,23,Character,Bust,Japan,Game
Impasto,Slam Dunk,Sakuragi Hanamichi,49,9,15,Character,Portrait,Japan,Anime
Realistic,NARUTO,Senju Hashirama,48,2,7,Character,Full-Body,Japan,Anime
Realistic,NARUTO,Uchiha Madara,49,3,8,Character,Bust,Japan,Anime
ACGN,Genshin,Yae Miko,39,2,10,Character,Portrait,China,Game
Impasto,Modao Zushi,Jiang Cheng,38,0,8,Character,Portrait,China,Novel
ACGN,Lord of the Mystery,Klein,36,8,6,Character,Full-Body,China,Novel
Impasto,Final Fantasy,Tifa&Alice,30,2,9,Character,Full-Body,Japan,Game
Impasto,The Defectives,Lu Bixing,24,9,5,Character,Bust,China,Novel
ACGN,Soul Land,Tang San,21,3,4,Character,Bust,China,Novel
Impasto,The Legend of Zelda,Revaku,19,0,5,Character,Full-Body,Japan,Game
Realistic,NARUTO,Hidan,17,0,7,Character,Bust,Japan,Anime
Realistic,Ultraman,Ultraman Zero,19,5,4,Character,Bust,Japan,Tokusatsu
ACGN,Superman,Superman,14,1,5,Character,Portrait,US,Film
ACGN,Nagi-Asu: A Lull in the Sea,Manaka Mukaido,13,0,1,Character,Full-Body,Japan,Anime
Water Color,Genshin,Noelle,16,0,1,Character,Portrait,China,Game
Impasto,Ten Day Ultimatum,Sun Jiaqi&Zhang Chenze,14,1,0,Character,Bust,China,Novel
ACGN,Jujutsu Kaisen,Nanami Kento,9,0,5,Character,Bust,Japan,Anime
Realistic,NARUTO,Kakuzu,7,2,4,Character,Full-Body,Japan,Anime
ACGN,Honkai: Star Rail,Unknown,10,1,0,Character,Portrait,China,Game
ACGN,Genshin,Balladeer,11,0,1,Character,Portrait,China,Game
3D Model,Genshin,Balladeer,9,0,2,Character,Bust,China,Game
ACGN,Jujutsu Kaisen,Ryomen Sukuna,9,1,1,Character,Bust,Japan,Anime
ACGN,Genshin,Eula&Amber,6,0,4,Character,Bust,China,Game
ACGN,Genshin,Reinden Shougun,6,2,3,Character,Full-Body,China,Game
ACGN,Genshin,Shenhe,6,1,1,Character,Full-Body,China,Game
ACGN,EVA,Asuka&Rei,5,0,2,Character,Bust,Japan,Anime
Impasto,Modao Zushi,Jiang Cheng,6,0,0,Character,Portrait,China,Novel
ACGN,Jujutsu Kaisen,Nanami Kento,4,0,2,Character,Bust,Japan,Anime
